Version: 2, OpenDRIVE: hct_6.xodr, 3DModel: 
time, id, name, x, y, z, h, p, r, speed, wheel_angle, wheel_rot
0.900, 1, Agent1, 681.473, -106.634, 0.000, 4.794, 0.000, 0.000, 0.000, 0.000, 0.000
0.900, 2, Agent2, 689.052, -159.667, 0.000, 1.649, 0.000, 0.000, 0.000, 0.000, 0.000
0.950, 0, Ego, 690.365, -176.365, 0.000, 1.647, 0.000, 0.000, 6.729, -0.000, 4.724
0.950, 1, Agent1, 681.473, -106.634, 0.000, 4.794, 0.000, 0.000, 0.000, 0.000, 0.000
0.950, 2, Agent2, 689.052, -159.667, 0.000, 1.649, 0.000, 0.000, 0.000, 0.000, 0.000
1.000, 0, Ego, 690.339, -176.019, 0.000, 1.647, 0.000, 0.000, 6.932, -0.000, 5.714
1.000, 1, Agent1, 681.518, -107.188, 0.000, 4.794, 0.000, 0.000, 11.111, 0.000, 1.587
1.000, 2, Agent2, 689.009, -159.113, 0.000, 1.649, 0.000, 0.000, 11.111, -0.000, 1.587
1.050, 0, Ego, 690.311, -175.664, 0.000, 1.647, 0.000, 0.000, 7.127, -0.000, 0.449
1.050, 1, Agent1, 681.563, -107.742, 0.000, 4.794, 0.000, 0.000, 11.111, -0.000, 3.175
1.050, 2, Agent2, 688.965, -158.560, 0.000, 1.649, 0.000, 0.000, 11.111, -0.000, 3.175
1.100, 0, Ego, 690.283, -175.299, 0.000, 1.647, 0.000, 0.000, 7.314, 0.000, 1.494
1.100, 1, Agent1, 681.519, -107.188, 0.000, 4.795, 0.000, 0.000, 11.111, 0.009, 4.762
1.100, 2, Agent2, 688.921, -158.006, 0.000, 1.650, 0.000, 0.000, 11.111, 0.009, 4.762
1.150, 0, Ego, 690.255, -174.926, 0.000, 1.647, 0.000, 0.000, 7.493, 0.000, 2.564
1.150, 1, Agent1, 681.565, -107.742, 0.000, 4.795, 0.000, 0.000, 11.111, 0.000, 0.066
1.150, 2, Agent2, 688.877, -157.452, 0.000, 1.650, 0.000, 0.000, 11.111, 0.000, 0.066
1.200, 0, Ego, 690.225, -174.544, 0.000, 1.647, 0.000, 0.000, 7.665, -0.000, 3.659
1.200, 1, Agent1, 681.611, -108.295, 0.000, 4.795, 0.000, 0.000, 11.111, 0.000, 1.653
1.200, 2, Agent2, 688.834, -156.898, 0.000, 1.649, 0.000, 0.000, 11.111, -0.009, 1.653
1.250, 0, Ego, 690.195, -174.153, 0.000, 1.647, 0.000, 0.000, 7.830, 0.000, 4.778
1.250, 1, Agent1, 681.657, -108.849, 0.000, 4.795, 0.000, 0.000, 11.111, 0.000, 3.241
1.250, 2, Agent2, 688.790, -156.344, 0.000, 1.649, 0.000, 0.000, 11.111, 0.000, 3.241
1.300, 0, Ego, 690.165, -173.755, 0.000, 1.647, 0.000, 0.000, 7.988, -0.000, 5.919
1.300, 1, Agent1, 681.703, -109.403, 0.000, 4.795, 0.000, 0.000, 11.111, 0.000, 4.828
1.300, 2, Agent2, 688.747, -155.790, 0.000, 1.649, 0.000, 0.000, 11.111, 0.000, 4.828
1.350, 0, Ego, 690.134, -173.349, 0.000, 1.647, 0.000, 0.000, 8.140, 0.000, 0.799
1.350, 1, Agent1, 681.749, -109.956, 0.000, 4.795, 0.000, 0.000, 11.111, -0.000, 0.132
1.350, 2, Agent2, 688.704, -155.236, 0.000, 1.649, 0.000, 0.000, 11.111, -0.000, 0.132
1.400, 0, Ego, 690.102, -172.936, 0.000, 1.647, 0.000, 0.000, 8.285, -0.000, 1.982
1.400, 1, Agent1, 681.795, -110.510, 0.000, 4.795, 0.000, 0.000, 11.111, -0.000, 1.719
1.400, 2, Agent2, 688.661, -154.683, 0.000, 1.649, 0.000, 0.000, 11.111, -0.000, 1.719
1.450, 0, Ego, 690.070, -172.516, 0.000, 1.647, 0.000, 0.000, 8.424, -0.000, 3.186
1.450, 1, Agent1, 681.841, -111.063, 0.000, 4.795, 0.000, 0.000, 11.111, -0.000, 3.307
1.450, 2, Agent2, 688.617, -154.129, 0.000, 1.649, 0.000, 0.000, 11.111, 0.000, 3.307
1.500, 0, Ego, 690.037, -172.090, 0.000, 1.647, 0.000, 0.000, 8.557, 0.000, 4.408
1.500, 1, Agent1, 681.887, -111.617, 0.000, 4.795, 0.000, 0.000, 11.111, -0.000, 4.894
1.500, 2, Agent2, 688.574, -153.575, 0.000, 1.649, 0.000, 0.000, 11.111, -0.000, 4.894
1.550, 0, Ego, 690.004, -171.657, 0.000, 1.647, 0.000, 0.000, 8.685, 0.000, 5.649
1.550, 1, Agent1, 681.933, -112.171, 0.000, 4.795, 0.000, 0.000, 11.111, 0.000, 0.198
1.550, 2, Agent2, 688.531, -153.021, 0.000, 1.649, 0.000, 0.000, 11.111, 0.000, 0.198
1.600, 0, Ego, 689.970, -171.218, 0.000, 1.647, 0.000, 0.000, 8.808, -0.000, 0.624
1.600, 1, Agent1, 681.979, -112.724, 0.000, 4.795, 0.000, 0.000, 11.111, -0.000, 1.785
1.600, 2, Agent2, 688.487, -152.467, 0.000, 1.649, 0.000, 0.000, 11.111, 0.000, 1.785
1.650, 0, Ego, 689.936, -170.773, 0.000, 1.647, 0.000, 0.000, 8.925, -0.001, 1.899
1.650, 1, Agent1, 682.025, -113.278, 0.000, 4.795, 0.000, 0.000, 11.111, -0.000, 3.373
1.650, 2, Agent2, 688.444, -151.913, 0.000, 1.649, 0.000, 0.000, 11.111, -0.000, 3.373
1.700, 0, Ego, 689.902, -170.322, 0.000, 1.647, 0.000, 0.000, 9.038, -0.000, 3.190
1.700, 1, Agent1, 682.071, -113.832, 0.000, 4.795, 0.000, 0.000, 11.111, -0.000, 4.960
1.700, 2, Agent2, 688.401, -151.359, 0.000, 1.649, 0.000, 0.000, 11.111, -0.000, 4.960
1.750, 0, Ego, 689.867, -169.866, 0.000, 1.648, 0.000, 0.000, 9.146, 0.003, 4.497
