time,id,name,x,y,z,h,p,r,speed,wheel_angle,wheel_rot
1.400,1,Agent1,506.633,-27.238,0.000,3.745,0.000,0.000,11.111,0.001,1.785
1.450,0,Ego,494.356,-33.897,0.000,3.746,0.000,0.000,11.111,-0.001,2.049
1.450,1,Agent1,506.175,-27.553,0.000,3.745,0.000,0.000,11.111,0.000,3.373
1.500,0,Ego,493.899,-34.213,0.000,3.746,0.000,0.000,11.111,0.000,3.637
1.500,1,Agent1,505.718,-27.868,0.000,3.745,0.000,0.000,11.111,0.001,4.960
1.550,0,Ego,493.442,-34.528,0.000,3.746,0.000,0.000,11.111,-0.001,5.224
1.550,1,Agent1,505.260,-28.183,0.000,3.745,0.000,0.000,11.111,0.000,0.264
1.600,0,Ego,492.985,-34.844,0.000,3.746,0.000,0.000,11.111,-0.000,0.528
1.600,1,Agent1,504.803,-28.499,0.000,3.745,0.000,0.000,11.111,0.001,1.851
1.650,0,Ego,492.528,-35.159,0.000,3.746,0.000,0.000,11.111,-0.001,2.115
1.650,1,Agent1,504.346,-28.814,0.000,3.745,0.000,0.000,11.111,0.002,3.439
1.700,0,Ego,492.071,-35.475,0.000,3.746,0.000,0.000,11.111,-0.000,3.703
1.700,1,Agent1,503.888,-29.129,0.000,3.745,0.000,0.000,11.111,-0.000,5.026
1.750,0,Ego,491.615,-35.790,0.000,3.746,0.000,0.000,11.111,-0.001,5.290
1.750,1,Agent1,503.431,-29.445,0.000,3.746,0.000,0.000,11.111,0.002,0.330
1.800,0,Ego,491.158,-36.106,0.000,3.746,0.000,0.000,11.111,-0.001,0.594
1.800,1,Agent1,502.974,-29.761,0.000,3.746,0.000,0.000,11.111,-0.000,1.917
1.850,0,Ego,490.700,-36.421,0.000,3.746,0.000,0.000,11.111,0.001,2.181
1.850,1,Agent1,502.517,-30.076,0.000,3.746,0.000,0.000,11.111,0.002,3.505
1.900,0,Ego,490.243,-36.737,0.000,3.746,0.000,0.000,11.111,0.001,3.769
1.900,1,Agent1,502.059,-30.392,0.000,3.746,0.000,0.000,11.111,0.000,5.092
1.950,0,Ego,489.786,-37.053,0.000,3.746,0.000,0.000,11.111,-0.000,5.356
1.950,1,Agent1,501.602,-30.708,0.000,3.746,0.000,0.000,11.111,0.002,0.396
2.000,0,Ego,489.328,-37.369,0.000,3.746,0.000,0.000,11.111,0.001,0.660
2.000,1,Agent1,501.145,-31.024,0.000,3.746,0.000,0.000,11.111,-0.000,1.983
2.050,0,Ego,488.871,-37.685,0.000,3.746,0.000,0.000,11.111,-0.000,2.248
2.050,1,Agent1,500.688,-31.340,0.000,3.747,0.000,0.000,11.111,0.001,3.571
2.100,0,Ego,488.413,-38.001,0.000,3.747,0.000,0.000,11.111,0.002,3.835
2.100,1,Agent1,500.231,-31.656,0.000,3.747,0.000,0.000,11.111,-0.000,5.158
2.150,0,Ego,487.956,-38.317,0.000,3.747,0.000,0.000,11.111,-0.000,5.422
2.150,1,Agent1,499.775,-31.972,0.000,3.747,0.000,0.000,11.111,0.001,0.462
2.200,0,Ego,487.498,-38.634,0.000,3.747,0.000,0.000,11.111,0.003,0.726
2.200,1,Agent1,499.318,-32.288,0.000,3.747,0.000,0.000,11.111,-0.000,2.049
2.250,0,Ego,487.039,-38.952,0.000,3.748,0.000,0.000,11.111,0.007,2.314
2.250,1,Agent1,498.861,-32.604,0.000,3.747,0.000,0.000,11.111,0.000,3.637
2.300,0,Ego,486.583,-39.268,0.000,3.748,0.000,0.000,11.111,-0.004,3.901
2.300,1,Agent1,498.404,-32.920,0.000,3.747,0.000,0.000,11.111,-0.001,5.224
2.350,0,Ego,486.125,-39.585,0.000,3.748,0.000,0.000,11.111,0.003,5.488
2.350,1,Agent1,497.947,-33.236,0.000,3.747,0.000,0.000,11.111,0.000,0.528
2.400,0,Ego,485.668,-39.902,0.000,3.748,0.000,0.000,11.111,0.000,0.792
2.400,1,Agent1,497.490,-33.552,0.000,3.747,0.000,0.000,11.111,-0.001,2.115
2.450,0,Ego,485.211,-40.220,0.000,3.748,0.000,0.000,11.111,0.002,2.380
2.450,1,Agent1,497.033,-33.868,0.000,3.747,0.000,0.000,11.111,0.000,3.703
2.500,0,Ego,484.754,-40.536,0.000,3.748,0.000,0.000,11.111,-0.000,3.967
2.500,1,Agent1,496.577,-34.184,0.000,3.748,0.000,0.000,11.111,0.010,5.290
2.550,0,Ego,484.297,-40.854,0.000,3.749,0.000,0.000,11.111,0.001,5.554
2.550,1,Agent1,496.120,-34.501,0.000,3.748,0.000,0.000,11.111,-0.003,0.594
2.600,0,Ego,483.841,-41.171,0.000,3.749,0.000,0.000,11.111,-0.000,0.858
2.600,1,Agent1,495.663,-34.817,0.000,3.746,0.000,0.000,11.111,-0.008,2.181
2.650,0,Ego,483.384,-41.488,0.000,3.749,0.000,0.000,11.111,0.001,2.446
2.650,1,Agent1,495.206,-35.133,0.000,3.746,0.000,0.000,11.111,-0.001,3.769
2.700,0,Ego,482.927,-41.806,0.000,3.749,0.000,0.000,11.111,0.002,4.033
2.700,1,Agent1,494.749,-35.448,0.000,3.746,0.000,0.000,11.111,0.000,5.356
2.750,0,Ego,482.471,-42.123,0.000,3.749,0.000,0.000,11.111,-0.002,5.620
2.750,1,Agent1,494.292,-35.764,0.000,3.746,0.000,0.000,11.111,-0.001,0.660
2.800,0,Ego,482.015,-42.440,0.000,3.749,0.000,0.000,11.111,-0.000,0.924
2.800,1,Agent1,493.835,-36.080,0.000,3.746,0.000,0.000,11.111,-0.000,2.248
2.850,0,Ego,481.558,-42.757,0.000,3.749,0.000,0.000,11.111,-0.000,2.512
2.850,1,Agent1,493.378,-36.396,0.000,3.746,0.000,0.000,11.111,-0.001,3.835
2.900,0,Ego,481.102,-43.074,0.000,3.749,0.000,0.000,11.111,-0.001,4.099
2.900,1,Agent1,492.921,-36.711,0.000,3.746,0.000,0.000,11.111,-0.000,5.422
2.950,0,Ego,480.646,-43.391,0.000,3.749,0.000,0.000,11.111,-0.000,5.686
2.950,1,Agent1,492.464,-37.027,0.000,3.746,0.000,0.000,11.111,-0.001,0.726
3.000,0,Ego,480.190,-43.708,0.000,3.749,0.000,0.000,11.111,-0.001,0.990
3.000,1,Agent1,492.006,-37.342,0.000,3.746,0.000,0.000,11.111,-0.001,2.314
3.050,0,Ego,479.733,-44.025,0.000,3.749,0.000,0.000,11.111,0.000,2.578
3.050,1,Agent1,491.549,-37.658,0.000,3.746,0.000,0.000,11.111,0.001,3.901
3.100,0,Ego,479.277,-44.341,0.000,3.748,0.000,0.000,11.111,-0.001,4.165
3.100,1,Agent1,491.092,-37.974,0.000,3.746,0.000,0.000,11.111,0.001,5.488
3.150,0,Ego,478.822,-44.658,0.000,3.748,0.000,0.000,11.111,-0.003,5.752
3.150,1,Agent1,490.635,-38.289,0.000,3.746,0.000,0.000,11.111,-0.000,0.792
3.200,0,Ego,478.365,-44.974,0.000,3.748,0.000,0.000,11.111,0.001,1.056
3.200,1,Agent1,490.178,-38.605,0.000,3.746,0.000,0.000,11.111,0.001,2.380
3.250,0,Ego,477.910,-45.290,0.000,3.748,0.000,0.000,11.111,-0.002,2.644
3.250,1,Agent1,489.721,-38.921,0.000,3.746,0.000,0.000,11.111,-0.000,3.967
3.300,0,Ego,477.453,-45.607,0.000,3.748,0.000,0.000,11.111,-0.000,4.231
3.300,1,Agent1,489.263,-39.237,0.000,3.747,0.000,0.000,11.111,0.002,5.554
