min_ttc,Agent1_S,Agent1_Speed,Agent1_1_SA_EndSpeed,Agent1_1_TA_DynamicDuration,Agent1_1_SA_DynamicDuration,Ego_Speed
inf,45.0,40.0,10.0,5.0,3.0,40.0
inf,45.0,40.0,10.0,5.0,5.0,40.0
inf,45.0,40.0,20.0,5.0,3.0,40.0
inf,45.0,40.0,20.0,5.0,5.0,40.0
inf,45.0,50.0,10.0,5.0,3.0,40.0
inf,45.0,50.0,10.0,5.0,5.0,40.0
inf,45.0,50.0,20.0,5.0,3.0,40.0
inf,45.0,50.0,20.0,5.0,5.0,40.0
1.856184644203651,45.0,60.0,10.0,5.0,3.0,40.0
1.2537208241636741,45.0,60.0,10.0,5.0,5.0,40.0
1.47201123313264,45.0,60.0,20.0,5.0,3.0,40.0
0.9689314182935811,45.0,60.0,20.0,5.0,5.0,40.0
