min_ttc,Agent1_S,Agent1_Speed,Agent1_1_SA_EndSpeed,Agent1_1_TA_Offset,Agent1_1_TA_Period,Agent1_1_TA_Times,Ego_Speed
0.1816052129740316,15.0,40.0,10.0,-1.0,0.2,1.0,40.0
0.24165294533151768,15.0,40.0,10.0,-1.0,0.2,2.0,40.0
0.24165294533151768,15.0,40.0,10.0,-1.0,0.2,3.0,40.0
0.06489873100721005,15.0,40.0,10.0,-1.0,0.6,1.0,40.0
0.0649044458850403,15.0,40.0,10.0,-1.0,0.6,2.0,40.0
0.0649044458850403,15.0,40.0,10.0,-1.0,0.6,3.0,40.0
0.11426446299320377,15.0,40.0,10.0,-1.0,1.0,1.0,40.0
0.11426446299320377,15.0,40.0,10.0,-1.0,1.0,2.0,40.0
0.11426446299320377,15.0,40.0,10.0,-1.0,1.0,3.0,40.0
0.18155403556316743,15.0,40.0,10.0,-0.8,0.2,1.0,40.0
0.23309050715918825,15.0,40.0,10.0,-0.8,0.2,2.0,40.0
0.23309050715918825,15.0,40.0,10.0,-0.8,0.2,3.0,40.0
0.08787841994860676,15.0,40.0,10.0,-0.8,0.6,1.0,40.0
0.0878847318951821,15.0,40.0,10.0,-0.8,0.6,2.0,40.0
0.0878847318951821,15.0,40.0,10.0,-0.8,0.6,3.0,40.0
0.12776857413797418,15.0,40.0,10.0,-0.8,1.0,1.0,40.0
0.12776857413797418,15.0,40.0,10.0,-0.8,1.0,2.0,40.0
0.12776857413797418,15.0,40.0,10.0,-0.8,1.0,3.0,40.0
0.18150349693809567,15.0,40.0,10.0,-0.6,0.2,1.0,40.0
0.22160790492143334,15.0,40.0,10.0,-0.6,0.2,2.0,40.0
0.22160790492143334,15.0,40.0,10.0,-0.6,0.2,3.0,40.0
0.11111830224960785,15.0,40.0,10.0,-0.6,0.6,1.0,40.0
0.11111763646410612,15.0,40.0,10.0,-0.6,0.6,2.0,40.0
0.11111763646410612,15.0,40.0,10.0,-0.6,0.6,3.0,40.0
0.14128819329221834,15.0,40.0,10.0,-0.6,1.0,1.0,40.0
0.14128819329221834,15.0,40.0,10.0,-0.6,1.0,2.0,40.0
0.14128819329221834,15.0,40.0,10.0,-0.6,1.0,3.0,40.0
0.181453801765847,15.0,40.0,10.0,-0.4,0.2,1.0,40.0
0.20924050444964187,15.0,40.0,10.0,-0.4,0.2,2.0,40.0
0.20924050444964187,15.0,40.0,10.0,-0.4,0.2,3.0,40.0
0.13448156367386352,15.0,40.0,10.0,-0.4,0.6,1.0,40.0
0.13448120328511867,15.0,40.0,10.0,-0.4,0.6,2.0,40.0
0.13448120328511867,15.0,40.0,10.0,-0.4,0.6,3.0,40.0
0.15477171273015045,15.0,40.0,10.0,-0.4,1.0,1.0,40.0
0.15477171273015045,15.0,40.0,10.0,-0.4,1.0,2.0,40.0
0.15477171273015045,15.0,40.0,10.0,-0.4,1.0,3.0,40.0
0.18140475448013543,15.0,40.0,10.0,-0.2,0.2,1.0,40.0
0.19583637951612703,15.0,40.0,10.0,-0.2,0.2,2.0,40.0
0.19583637951612703,15.0,40.0,10.0,-0.2,0.2,3.0,40.0
0.1579008336584383,15.0,40.0,10.0,-0.2,0.6,1.0,40.0
0.15790072670162722,15.0,40.0,10.0,-0.2,0.6,2.0,40.0
0.15790072670162722,15.0,40.0,10.0,-0.2,0.6,3.0,40.0
0.16814488529694777,15.0,40.0,10.0,-0.2,1.0,1.0,40.0
0.16814488529694777,15.0,40.0,10.0,-0.2,1.0,2.0,40.0
0.16814488529694777,15.0,40.0,10.0,-0.2,1.0,3.0,40.0
0.1813565558886845,15.0,40.0,10.0,-0.0,0.2,1.0,40.0
0.1813565558886845,15.0,40.0,10.0,-0.0,0.2,2.0,40.0
0.1813565558886845,15.0,40.0,10.0,-0.0,0.2,3.0,40.0
0.1813565558886845,15.0,40.0,10.0,-0.0,0.6,1.0,40.0
0.1813565558886845,15.0,40.0,10.0,-0.0,0.6,2.0,40.0
0.1813565558886845,15.0,40.0,10.0,-0.0,0.6,3.0,40.0
0.1813565558886845,15.0,40.0,10.0,-0.0,1.0,1.0,40.0
0.1813565558886845,15.0,40.0,10.0,-0.0,1.0,2.0,40.0
0.1813565558886845,15.0,40.0,10.0,-0.0,1.0,3.0,40.0
0.18130920667351672,15.0,40.0,10.0,0.2,0.2,1.0,40.0
0.16511846923813753,15.0,40.0,10.0,0.2,0.2,2.0,40.0
0.16511846923813753,15.0,40.0,10.0,0.2,0.2,3.0,40.0
0.20482031055291527,15.0,40.0,10.0,0.2,0.6,1.0,40.0
0.20482017723942103,15.0,40.0,10.0,0.2,0.6,2.0,40.0
0.20482017723942103,15.0,40.0,10.0,0.2,0.6,3.0,40.0
0.19392666256181784,15.0,40.0,10.0,0.2,1.0,1.0,40.0
0.19392666256181784,15.0,40.0,10.0,0.2,1.0,2.0,40.0
0.19392666256181784,15.0,40.0,10.0,0.2,1.0,3.0,40.0
0.18126251704860732,15.0,40.0,10.0,0.4,0.2,1.0,40.0
0.14762596503202416,15.0,40.0,10.0,0.4,0.2,2.0,40.0
0.14762596503202416,15.0,40.0,10.0,0.4,0.2,3.0,40.0
0.22826939164275645,15.0,40.0,10.0,0.4,0.6,1.0,40.0
0.22826879199211964,15.0,40.0,10.0,0.4,0.6,2.0,40.0
0.22826879199211964,15.0,40.0,10.0,0.4,0.6,3.0,40.0
0.2054549032866456,15.0,40.0,10.0,0.4,1.0,1.0,40.0
0.2054549032866456,15.0,40.0,10.0,0.4,1.0,2.0,40.0
0.2054549032866456,15.0,40.0,10.0,0.4,1.0,3.0,40.0
0.18121668200120714,15.0,40.0,10.0,0.6,0.2,1.0,40.0
0.13002144598889867,15.0,40.0,10.0,0.6,0.2,2.0,40.0
0.13002144598889867,15.0,40.0,10.0,0.6,0.2,3.0,40.0
0.2517053020808368,15.0,40.0,10.0,0.6,0.6,1.0,40.0
0.2517038138429333,15.0,40.0,10.0,0.6,0.6,2.0,40.0
0.2517038138429333,15.0,40.0,10.0,0.6,0.6,3.0,40.0
0.2166970638278923,15.0,40.0,10.0,0.6,1.0,1.0,40.0
0.2166970638278923,15.0,40.0,10.0,0.6,1.0,2.0,40.0
0.2166970638278923,15.0,40.0,10.0,0.6,1.0,3.0,40.0
0.18117151563278017,15.0,40.0,10.0,0.8,0.2,1.0,40.0
0.11261236159350593,15.0,40.0,10.0,0.8,0.2,2.0,40.0
0.11261236159350593,15.0,40.0,10.0,0.8,0.2,3.0,40.0
0.2751106480571414,15.0,40.0,10.0,0.8,0.6,1.0,40.0
0.275100398877114,15.0,40.0,10.0,0.8,0.6,2.0,40.0
0.275100398877114,15.0,40.0,10.0,0.8,0.6,3.0,40.0
0.22764917187018147,15.0,40.0,10.0,0.8,1.0,1.0,40.0
0.22764917187018147,15.0,40.0,10.0,0.8,1.0,2.0,40.0
0.22764917187018147,15.0,40.0,10.0,0.8,1.0,3.0,40.0
0.18112720903260968,15.0,40.0,10.0,1.0,0.2,1.0,40.0
0.0956713379926808,15.0,40.0,10.0,1.0,0.2,2.0,40.0
0.0956713379926808,15.0,40.0,10.0,1.0,0.2,3.0,40.0
0.29847595147484757,15.0,40.0,10.0,1.0,0.6,1.0,40.0
0.2984637159133113,15.0,40.0,10.0,1.0,0.6,2.0,40.0
0.2984637159133113,15.0,40.0,10.0,1.0,0.6,3.0,40.0
0.23829195533890443,15.0,40.0,10.0,1.0,1.0,1.0,40.0
0.23829195533890443,15.0,40.0,10.0,1.0,1.0,2.0,40.0
0.23829195533890443,15.0,40.0,10.0,1.0,1.0,3.0,40.0
0.20227219776557795,15.0,40.0,10.0,-1.0,0.2,1.0,40.0
0.06855108321906452,15.0,40.0,10.0,-1.0,0.2,2.0,40.0
0.06855108321906452,15.0,40.0,10.0,-1.0,0.2,3.0,40.0
0.16155720281339964,15.0,40.0,10.0,-1.0,0.6,1.0,40.0
0.1773773622047181,15.0,40.0,10.0,-1.0,0.6,2.0,40.0
0.1773773622047181,15.0,40.0,10.0,-1.0,0.6,3.0,40.0
0.06753223283628702,15.0,40.0,10.0,-1.0,1.0,1.0,40.0
0.06753223283628702,15.0,40.0,10.0,-1.0,1.0,2.0,40.0
0.06753223283628702,15.0,40.0,10.0,-1.0,1.0,3.0,40.0
0.20226979017171243,15.0,40.0,10.0,-0.8,0.2,1.0,40.0
0.0952227982040508,15.0,40.0,10.0,-0.8,0.2,2.0,40.0
0.0952227982040508,15.0,40.0,10.0,-0.8,0.2,3.0,40.0
0.1699072509114045,15.0,40.0,10.0,-0.8,0.6,1.0,40.0
0.18290507003538314,15.0,40.0,10.0,-0.8,0.6,2.0,40.0
0.18290507003538314,15.0,40.0,10.0,-0.8,0.6,3.0,40.0
0.0944718894008191,15.0,40.0,10.0,-0.8,1.0,1.0,40.0
0.0944718894008191,15.0,40.0,10.0,-0.8,1.0,2.0,40.0
0.0944718894008191,15.0,40.0,10.0,-0.8,1.0,3.0,40.0
0.20225982969581596,15.0,40.0,10.0,-0.6,0.2,1.0,40.0
0.12196209823857665,15.0,40.0,10.0,-0.6,0.2,2.0,40.0
0.12196209823857665,15.0,40.0,10.0,-0.6,0.2,3.0,40.0
0.17817519249787245,15.0,40.0,10.0,-0.6,0.6,1.0,40.0
0.18823240823851925,15.0,40.0,10.0,-0.6,0.6,2.0,40.0
0.18823240823851925,15.0,40.0,10.0,-0.6,0.6,3.0,40.0
0.12141634423616135,15.0,40.0,10.0,-0.6,1.0,1.0,40.0
0.12141634423616135,15.0,40.0,10.0,-0.6,1.0,2.0,40.0
0.12141634423616135,15.0,40.0,10.0,-0.6,1.0,3.0,40.0
0.20225860202653226,15.0,40.0,10.0,-0.4,0.2,1.0,40.0
0.14871890585521327,15.0,40.0,10.0,-0.4,0.2,2.0,40.0
0.14871890585521327,15.0,40.0,10.0,-0.4,0.2,3.0,40.0
