min_ttc,Ego_Speed,Agent1_S,Agent1_Speed,Agent1_1_SA_EndSpeed,Agent1_1_TA_DynamicDuration,Agent1_1_SA_DynamicDuration,Agent2_S,Agent2_Speed,Agent2_1_SA_EndSpeed,Agent2_1_TA_DynamicDuration,Agent2_1_SA_DynamicDuration
1.2001,40.0,10.0,50.0,50.0,5.0,5.0,10.0,10.0,40.0,5.0,4.0
1.2730,40.0,10.0,50.0,40.0,5.0,5.0,10.0,10.0,50.0,5.0,4.0
1.2730,40.0,10.0,60.0,40.0,5.0,5.0,10.0,10.0,50.0,5.0,4.0
0.8076,40.0,10.0,50.0,60.0,5.0,5.0,10.0,0.0,40.0,5.0,4.0
1.0760,40.0,10.0,40.0,50.0,5.0,5.0,10.0,10.0,50.0,5.0,2.0
1.1256,40.0,10.0,50.0,40.0,5.0,5.0,10.0,0.0,60.0,5.0,2.0
1.0849,40.0,10.0,40.0,40.0,5.0,5.0,10.0,10.0,50.0,5.0,4.0
0.9651,40.0,10.0,40.0,60.0,5.0,5.0,10.0,0.0,50.0,5.0,4.0
1.2730,40.0,10.0,60.0,50.0,5.0,5.0,10.0,10.0,50.0,5.0,4.0
1.2001,40.0,10.0,60.0,40.0,5.0,5.0,10.0,10.0,40.0,5.0,4.0
1.3754,40.0,10.0,50.0,50.0,5.0,5.0,10.0,10.0,40.0,5.0,2.0
0.8076,40.0,10.0,60.0,60.0,5.0,5.0,10.0,0.0,40.0,5.0,4.0
1.1256,40.0,10.0,40.0,50.0,5.0,5.0,10.0,0.0,60.0,5.0,2.0
1.1634,40.0,10.0,40.0,50.0,5.0,5.0,10.0,10.0,40.0,5.0,4.0
1.1256,40.0,10.0,50.0,40.0,5.0,5.0,10.0,0.0,50.0,5.0,2.0
0.9651,40.0,10.0,40.0,40.0,5.0,5.0,10.0,0.0,50.0,5.0,4.0
0.9651,40.0,10.0,60.0,50.0,5.0,5.0,10.0,0.0,50.0,5.0,4.0
1.3183,40.0,10.0,60.0,40.0,5.0,5.0,10.0,10.0,60.0,5.0,4.0
1.3183,40.0,10.0,60.0,50.0,5.0,5.0,10.0,10.0,60.0,5.0,4.0
1.0271,40.0,10.0,40.0,40.0,5.0,5.0,10.0,10.0,40.0,5.0,2.0
0.9651,40.0,10.0,50.0,60.0,5.0,5.0,10.0,0.0,50.0,5.0,4.0
1.1610,40.0,10.0,40.0,50.0,5.0,5.0,10.0,10.0,50.0,5.0,4.0
1.3539,40.0,10.0,50.0,50.0,5.0,5.0,10.0,10.0,50.0,5.0,2.0
1.1256,40.0,10.0,60.0,50.0,5.0,5.0,10.0,0.0,60.0,5.0,2.0
1.3539,40.0,10.0,50.0,60.0,5.0,5.0,10.0,10.0,50.0,5.0,2.0
1.1256,40.0,10.0,60.0,50.0,5.0,5.0,10.0,0.0,50.0,5.0,2.0
1.2730,40.0,10.0,50.0,50.0,5.0,5.0,10.0,10.0,50.0,5.0,4.0
1.0517,40.0,10.0,60.0,40.0,5.0,5.0,10.0,0.0,60.0,5.0,4.0
1.3539,40.0,10.0,60.0,40.0,5.0,5.0,10.0,10.0,50.0,5.0,2.0
1.1999,40.0,10.0,40.0,60.0,5.0,5.0,10.0,10.0,60.0,5.0,4.0
1.3539,40.0,10.0,60.0,60.0,5.0,5.0,10.0,10.0,50.0,5.0,2.0
1.3754,40.0,10.0,50.0,40.0,5.0,5.0,10.0,10.0,40.0,5.0,2.0
1.1428,40.0,10.0,40.0,60.0,5.0,5.0,10.0,10.0,50.0,5.0,2.0
1.1256,40.0,10.0,50.0,50.0,5.0,5.0,10.0,0.0,60.0,5.0,2.0
0.8076,40.0,10.0,60.0,50.0,5.0,5.0,10.0,0.0,40.0,5.0,4.0
1.1256,40.0,10.0,60.0,40.0,5.0,5.0,10.0,0.0,60.0,5.0,2.0
1.0517,40.0,10.0,40.0,40.0,5.0,5.0,10.0,0.0,60.0,5.0,4.0
1.3539,40.0,10.0,50.0,50.0,5.0,5.0,10.0,10.0,60.0,5.0,2.0
1.0517,40.0,10.0,50.0,40.0,5.0,5.0,10.0,0.0,60.0,5.0,4.0
1.1608,40.0,10.0,40.0,50.0,5.0,5.0,10.0,0.0,40.0,5.0,2.0
1.3754,40.0,10.0,60.0,40.0,5.0,5.0,10.0,10.0,40.0,5.0,2.0
0.9651,40.0,10.0,40.0,50.0,5.0,5.0,10.0,0.0,50.0,5.0,4.0
1.3183,40.0,10.0,50.0,50.0,5.0,5.0,10.0,10.0,60.0,5.0,4.0
1.0867,40.0,10.0,40.0,40.0,5.0,5.0,10.0,0.0,60.0,5.0,2.0
1.0604,40.0,10.0,40.0,40.0,5.0,5.0,10.0,10.0,60.0,5.0,4.0
1.3539,40.0,10.0,60.0,40.0,5.0,5.0,10.0,10.0,60.0,5.0,2.0
1.1924,40.0,10.0,40.0,60.0,5.0,5.0,10.0,0.0,40.0,5.0,2.0
1.0983,40.0,10.0,40.0,50.0,5.0,5.0,10.0,10.0,60.0,5.0,2.0
1.3539,40.0,10.0,60.0,50.0,5.0,5.0,10.0,10.0,60.0,5.0,2.0
1.1256,40.0,10.0,60.0,60.0,5.0,5.0,10.0,0.0,50.0,5.0,2.0
0.9651,40.0,10.0,60.0,40.0,5.0,5.0,10.0,0.0,50.0,5.0,4.0
0.8076,40.0,10.0,60.0,40.0,5.0,5.0,10.0,0.0,40.0,5.0,4.0
1.3539,40.0,10.0,50.0,60.0,5.0,5.0,10.0,10.0,60.0,5.0,2.0
1.3754,40.0,10.0,50.0,60.0,5.0,5.0,10.0,10.0,40.0,5.0,2.0
1.1256,40.0,10.0,60.0,60.0,5.0,5.0,10.0,0.0,60.0,5.0,2.0
0.8076,40.0,10.0,40.0,60.0,5.0,5.0,10.0,0.0,40.0,5.0,4.0
1.1038,40.0,10.0,40.0,50.0,5.0,5.0,10.0,10.0,40.0,5.0,2.0
1.0517,40.0,10.0,60.0,60.0,5.0,5.0,10.0,0.0,60.0,5.0,4.0
1.1924,40.0,10.0,60.0,50.0,5.0,5.0,10.0,0.0,40.0,5.0,2.0
1.0517,40.0,10.0,50.0,60.0,5.0,5.0,10.0,0.0,60.0,5.0,4.0
1.0840,40.0,10.0,40.0,40.0,5.0,5.0,10.0,0.0,40.0,5.0,2.0
1.2001,40.0,10.0,50.0,40.0,5.0,5.0,10.0,10.0,40.0,5.0,4.0
1.3539,40.0,10.0,50.0,40.0,5.0,5.0,10.0,10.0,60.0,5.0,2.0
1.0828,40.0,10.0,40.0,40.0,5.0,5.0,10.0,0.0,50.0,5.0,2.0
1.1256,40.0,10.0,60.0,40.0,5.0,5.0,10.0,0.0,50.0,5.0,2.0
1.1256,40.0,10.0,50.0,50.0,5.0,5.0,10.0,0.0,50.0,5.0,2.0
1.0951,40.0,10.0,40.0,40.0,5.0,5.0,10.0,10.0,40.0,5.0,4.0
