min_ttc,Agent1_S,Agent1_Speed,Agent1_1_SA_EndSpeed,Agent1_1_TA_Offset,Agent1_1_TA_Period,Agent1_1_TA_Times,Ego_Speed
0.02454344760672251,65.0,40.0,10.0,-1.0,0.2,1.0,40.0
0.07512705764865432,65.0,40.0,10.0,-1.0,0.2,2.0,40.0
0.07512705764865432,65.0,40.0,10.0,-1.0,0.2,3.0,40.0
0.12040010337808155,65.0,40.0,10.0,-1.0,0.6,1.0,40.0
0.12039171425094064,65.0,40.0,10.0,-1.0,0.6,2.0,40.0
0.12039171425094064,65.0,40.0,10.0,-1.0,0.6,3.0,40.0
0.0643361268863357,65.0,40.0,10.0,-1.0,1.0,1.0,40.0
0.0643361268863357,65.0,40.0,10.0,-1.0,1.0,2.0,40.0
0.0643361268863357,65.0,40.0,10.0,-1.0,1.0,3.0,40.0
0.02464657276169326,65.0,40.0,10.0,-0.8,0.2,1.0,40.0
0.0626670834562467,65.0,40.0,10.0,-0.8,0.2,2.0,40.0
0.0626670834562467,65.0,40.0,10.0,-0.8,0.2,3.0,40.0
0.0975606747504,65.0,40.0,10.0,-0.8,0.6,1.0,40.0
0.09755390158341738,65.0,40.0,10.0,-0.8,0.6,2.0,40.0
0.09755390158341738,65.0,40.0,10.0,-0.8,0.6,3.0,40.0
0.0537778762712789,65.0,40.0,10.0,-0.8,1.0,1.0,40.0
0.0537778762712789,65.0,40.0,10.0,-0.8,1.0,2.0,40.0
0.0537778762712789,65.0,40.0,10.0,-0.8,1.0,3.0,40.0
0.024752709200323464,65.0,40.0,10.0,-0.6,0.2,1.0,40.0
0.050284036584369404,65.0,40.0,10.0,-0.6,0.2,2.0,40.0
0.050284036584369404,65.0,40.0,10.0,-0.6,0.2,3.0,40.0
0.07508740630263169,65.0,40.0,10.0,-0.6,0.6,1.0,40.0
0.07508185449821943,65.0,40.0,10.0,-0.6,0.6,2.0,40.0
0.07508185449821943,65.0,40.0,10.0,-0.6,0.6,3.0,40.0
0.04366097682667978,65.0,40.0,10.0,-0.6,1.0,1.0,40.0
0.04366097682667978,65.0,40.0,10.0,-0.6,1.0,2.0,40.0
0.04366097682667978,65.0,40.0,10.0,-0.6,1.0,3.0,40.0
0.02485557384333391,65.0,40.0,10.0,-0.4,0.2,1.0,40.0
0.03855589486692322,65.0,40.0,10.0,-0.4,0.2,2.0,40.0
0.03855589486692322,65.0,40.0,10.0,-0.4,0.2,3.0,40.0
