min_ttc,Ego_Speed,Agent1_S,Agent1_Speed,Agent1_1_SA_EndSpeed,Agent1_1_TA_DynamicDuration,Agent1_1_SA_DynamicDuration,Agent2_S,Agent2_Speed,Agent2_1_SA_EndSpeed,Agent2_1_TA_DynamicDuration,Agent2_1_SA_DynamicDuration
1.6982,40.0,10.0,50.0,60.0,5.0,5.0,15.0,60.0,20.0,5.0,3.0
1.5994,40.0,10.0,60.0,40.0,5.0,5.0,15.0,40.0,20.0,5.0,3.0
2.0520,40.0,10.0,60.0,50.0,5.0,5.0,15.0,60.0,20.0,5.0,5.0
2.0218,40.0,10.0,60.0,40.0,5.0,5.0,15.0,50.0,20.0,5.0,3.0
1.7042,40.0,10.0,50.0,50.0,5.0,5.0,15.0,60.0,10.0,5.0,3.0
2.0832,40.0,10.0,60.0,60.0,5.0,5.0,15.0,60.0,20.0,5.0,3.0
1.3209,40.0,10.0,40.0,50.0,5.0,5.0,15.0,50.0,20.0,5.0,5.0
1.2201,40.0,10.0,40.0,50.0,5.0,5.0,15.0,60.0,10.0,5.0,5.0
1.2431,40.0,10.0,40.0,50.0,5.0,5.0,15.0,60.0,20.0,5.0,3.0
1.7939,40.0,10.0,60.0,60.0,5.0,5.0,15.0,40.0,20.0,5.0,5.0
1.8340,40.0,10.0,50.0,60.0,5.0,5.0,15.0,50.0,10.0,5.0,5.0
1.2896,40.0,10.0,40.0,40.0,5.0,5.0,15.0,50.0,10.0,5.0,5.0
1.3725,40.0,10.0,40.0,50.0,5.0,5.0,15.0,40.0,20.0,5.0,5.0
1.2375,40.0,10.0,60.0,50.0,5.0,5.0,15.0,40.0,10.0,5.0,3.0
1.6981,40.0,10.0,50.0,40.0,5.0,5.0,15.0,50.0,20.0,5.0,5.0
1.7927,40.0,10.0,50.0,50.0,5.0,5.0,15.0,40.0,20.0,5.0,5.0
2.0515,40.0,10.0,60.0,40.0,5.0,5.0,15.0,60.0,10.0,5.0,3.0
1.4405,40.0,10.0,40.0,60.0,5.0,5.0,15.0,40.0,20.0,5.0,3.0
1.2375,40.0,10.0,50.0,60.0,5.0,5.0,15.0,40.0,10.0,5.0,3.0
1.6542,40.0,10.0,50.0,40.0,5.0,5.0,15.0,60.0,10.0,5.0,3.0
1.3840,40.0,10.0,40.0,60.0,5.0,5.0,15.0,50.0,20.0,5.0,5.0
1.8340,40.0,10.0,50.0,60.0,5.0,5.0,15.0,50.0,20.0,5.0,3.0
1.3725,40.0,10.0,40.0,50.0,5.0,5.0,15.0,40.0,20.0,5.0,3.0
2.1025,40.0,10.0,60.0,40.0,5.0,5.0,15.0,50.0,10.0,5.0,5.0
1.3917,40.0,10.0,40.0,50.0,5.0,5.0,15.0,50.0,20.0,5.0,3.0
2.1366,40.0,10.0,60.0,50.0,5.0,5.0,15.0,50.0,20.0,5.0,5.0
1.5994,40.0,10.0,60.0,50.0,5.0,5.0,15.0,40.0,20.0,5.0,3.0
1.7844,40.0,10.0,60.0,50.0,5.0,5.0,15.0,50.0,10.0,5.0,3.0
1.6534,40.0,10.0,60.0,40.0,5.0,5.0,15.0,40.0,10.0,5.0,5.0
1.6534,40.0,10.0,50.0,40.0,5.0,5.0,15.0,40.0,10.0,5.0,5.0
1.5994,40.0,10.0,50.0,40.0,5.0,5.0,15.0,40.0,20.0,5.0,3.0
1.2741,40.0,10.0,40.0,60.0,5.0,5.0,15.0,60.0,10.0,5.0,5.0
1.1699,40.0,10.0,40.0,40.0,5.0,5.0,15.0,60.0,10.0,5.0,5.0
2.1025,40.0,10.0,60.0,50.0,5.0,5.0,15.0,50.0,10.0,5.0,5.0
1.7336,40.0,10.0,50.0,40.0,5.0,5.0,15.0,50.0,10.0,5.0,5.0
